Title,Author,Average Rating,Top 3 Genres,First Published
A Flicker in the Dark,Stacy Willingham,3.99 avg rating,"Thriller, Mystery, Mystery Thriller",2022
Stranger in a Strange Land,Robert A. Heinlein,3.92 avg rating,"Science Fiction, Fiction, Classics",1961
The Sun Also Rises,Ernest Hemingway,3.79 avg rating,"Classics, Fiction, Literature",1926
Mere Christianity,C.S. Lewis,4.36 avg rating,"Christian, Nonfiction, Theology",1952
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.20 avg rating,"Mystery, Classics, Fiction",1934
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13 avg rating,"Fantasy, Fiction, Historical Fiction",1982
The Complete Maus,Art Spiegelman,4.58 avg rating,"Graphic Novels, Comics, Nonfiction",1980
"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,4.22 avg rating,"Childrens, Classics, Picture Books",1902
Number the Stars,Lois Lowry,4.19 avg rating,"Historical Fiction, Young Adult, Fiction",1989
The Phantom Tollbooth,Norton Juster,4.20 avg rating,"Fantasy, Fiction, Classics",1961
U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,4.52 avg rating,Unknown,Unknown
American Gods,Neil Gaiman,4.11 avg rating,"Fantasy, Fiction, Mythology",2001
James and the Giant Peach,Roald Dahl,4.03 avg rating,"Childrens, Fantasy, Fiction",1961
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.26 avg rating,"History, Nonfiction, Native American",1970
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38 avg rating,"Science Fiction, Fiction, Humor",1996
A Little Princess,Frances Hodgson Burnett,4.23 avg rating,"Fiction, Childrens, Classics",1905
Schindler’s List,Thomas Keneally,4.34 avg rating,"History, Nonfiction, Holocaust",1982
The Autobiography of Malcolm X,Malcolm X,4.37 avg rating,"Nonfiction, Biography, History",1965
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.65 avg rating,"Comics, Humor, Graphic Novels",1988
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13 avg rating,"Nonfiction, Memoir, Biography",1995
Their Eyes Were Watching God,Zora Neale Hurston,3.99 avg rating,"Classics, Fiction, Historical Fiction",1937
Middlesex,Jeffrey Eugenides,4.04 avg rating,"Fiction, Historical Fiction, Contemporary",2002
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66 avg rating,"Nonfiction, Memoir, Biography",2006
Into the Wild,Jon Krakauer,4.02 avg rating,"Nonfiction, Biography, Adventure",1996
Leaves of Grass,Walt Whitman,4.12 avg rating,"Poetry, Classics, Fiction",1855
"Holes (Holes, #1)",Louis Sachar,4.01 avg rating,"Young Adult, Fiction, Middle Grade",1998
The Wind in the Willows,Kenneth Grahame,4.02 avg rating,"Fiction, Childrens, Fantasy",1908
The Republic,Plato,3.96 avg rating,"Philosophy, Classics, Nonfiction",Unknown
Speak,Laurie Halse Anderson,4.05 avg rating,"Young Adult, Fiction, Contemporary",1999
Peter Pan,J.M. Barrie,4.04 avg rating,"Fantasy, Fiction, Childrens",1911
A People’s History of the United States: 1492 - Present,Howard Zinn,4.08 avg rating,"History, Nonfiction, Politics",1980
Looking for Alaska,John Green,3.96 avg rating,"Young Adult, Fiction, Contemporary",2005
